"AESS en langues, lettres et traductologie",https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_AESS_en_langues__lettres_et_traductologie.ics?version=14.0.2.5&idICal=56E7DBEC0EAA8AF63AFB9FC15B2FDACF&param=643d5b312e2e36325d2666683d3126663d3131303030
AESS en sciences biologiques,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_AESS_en_sciences_biologiques.ics?version=14.0.2.5&idICal=774A2F6AB7EA76F8B344BB97A02459F7&param=643d5b312e2e36325d2666683d3126663d3131303030
AESS en sciences chimiques,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_AESS_en_sciences_chimiques.ics?version=14.0.2.5&idICal=40CD038723AD542143BC7EC491EC971E&param=643d5b312e2e36325d2666683d3126663d3131303030
AESS en sciences de gestion,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_AESS_en_sciences_de_gestion.ics?version=14.0.2.5&idICal=535FBA59E7746275BF5C20DE74843EA3&param=643d5b312e2e36325d2666683d3126663d3131303030
AESS en sciences mathématiques,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_AESS_en_sciences_mathematiques.ics?version=14.0.2.5&idICal=6E1FA220D109A8A47E8EC88BDBFE8ED5&param=643d5b312e2e36325d2666683d3126663d3131303030
AESS en sciences physiques,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_AESS_en_sciences_physiques.ics?version=14.0.2.5&idICal=69742E030A69F6B078E790460A7FFC3B&param=643d5b312e2e36325d2666683d3126663d3131303030
AESS en sciences politiques et sociales,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_AESS_en_sciences_politiques_et_sociales.ics?version=14.0.2.5&idICal=75C6774F295CB80E5D65AAC6976CF95F&param=643d5b312e2e36325d2666683d3126663d3131303030
AESS en sciences psychologique et de l'éduca,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_AESS_en_sciences_psychologique_et_de_l_educa.ics?version=14.0.2.5&idICal=EAEA35B243A5B8719EC1C3441D05AC44&param=643d5b312e2e36325d2666683d3126663d3131303030
BAB1 en architecture,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_BAB1_en_architecture.ics?version=14.0.2.5&idICal=12ABD36D7F3E8C894AD0BD316DAFCB1F&param=643d5b312e2e36325d2666683d3126663d3131303030
BAB1 en droit,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_BAB1_en_droit.ics?version=14.0.2.5&idICal=A977ECA293D60E01A98F41937A863718&param=643d5b312e2e36325d2666683d3126663d3131303030
BAB1 en médecine,https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_BAB1_en_medecine.ics?version=14.0.2.5&idICal=AEBEAA92DF36871D38D80014F523F1DD&param=643d5b312e2e36325d2666683d3126663d3131303030
BAB1 en médecine (allégement),https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_BAB1_en_medecine__allegement_.ics?version=14.0.2.5&idICal=375C9142638D26BE4FAB0F462F222A13&param=643d5b312e2e36325d2666683d3126663d3131303030
"BAB1 en Sc gest, Sc éco&gest, Ing gest (Char‑Jour)",https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_BAB1_en_Sc_gest__Sc_eco_gest__Ing_gest__Char_Jour_.ics?version=14.0.2.5&idICal=6A3481BF553E441504943E70AF84D4D7&param=643d5b312e2e36325d2666683d3126663d3131303030
"BAB1 en Sc gest., Sc éco & gest., Ing. gest.",https://hplanning2016.umons.ac.be/Telechargements/ical/EdT_BAB1_en_Sc_gest___Sc_eco___gest___Ing__gest_.ics?version=14.0.2.5&idICal=1DF9D29D13CCFDE128E4181E379C6FEC&param=643d5b312e2e36325d2666683d3126663d3131303030
